record_id,citation,data_source,groups_vs_nhw,outcome_measure,synthesis,note,pmid,doi
2,US incidence of breast cancer subtypes defined by joint hormone receptor and HER2 status (2014),SEER (28% US),NH white/black/API/Hispanic subtypes,age-specific rates per 100k by subtype,quantitative,first national HR/HER2 subtype incidence by race 2010,24777111,10.1093/jnci/dju055
10,Breast Cancer Incidence Rates in Ghanaian and US Black Women from 2013 Through 2015 (2025),SEER 17,US Black vs NHW (+Ghana non-US),Table age-standardized rates + Fig age-specific,quantitative,ER-overall age-standardized rates NHB/NHW per 100k; Ghana=non-US comparator,41082230,10.1001/jamanetworkopen.2025.37160
12,Disparities and trends of the incidence and mortality of female-specific cancers in the United States (2025),SEER,race/ethnicity vs reference,age-standardized incidence + rate ratios,quantitative,breast among female-specific cancers SEER 2017-2021 rate ratios by race,41086189,10.1371/journal.pone.0334128
14,"Breast Cancer Incidence Trends in Older US Women by Race, Ethnicity, Geography, and Stage (2025)",USCS,race/ethnicity vs NHW (65+),IRR table,narrative,USCS 65+ only; rates include in-situ+invasive combined -> restricted estimand,40553473,10.1001/jamanetworkopen.2025.16947
17,Racial and ethnic disparities in breast cancer rates by age: NAACCR Breast Cancer Project (2005),NAACCR,each race vs white,age-specific rates + RR per 100k,quantitative,NAACCR Breast Cancer Project age-specific rates + RR,15986118,10.1007/s10549-005-2112-y
28,Invasive breast cancer among Alaska Native women in Alaska (2019),Alaska Native Tumor Registry,Alaska Native vs US White,Fig1 + Suppl Table 1,quantitative,AN vs USW age-adjusted female breast incidence 1969-2014,31234738,10.1080/22423982.2019.1633190
31,Black-white breast cancer incidence trends: Effects of ethnicity (2018),SEER 13,NHB vs NHW,age-standardized rates + APC/projection,quantitative,convergence NHB/NHW SEER13 1992-2014,29982593,10.1093/jnci/djy112
46,Incidence Rate Trends of Breast Cancer Overall and by Molecular Subtype by Race and Ethnicity and Age (2025),SEER 22,race/ethnicity + subtype,age-adjusted rates + APC,quantitative,subtype-specific incidence by race SEER22 2010-2019,39853979,10.1001/jamanetworkopen.2024.56142
49,"Cancer incidence in the Hmong in California, 1988-2000 (2005)",California Cancer Registry,Hmong vs NHW/API,site-specific table,quantitative,Hmong breast-specific age-adjusted rate vs NHW - verify exact breast row in table,16247793,10.1002/cncr.21525
51,The Alaska Native Tumour Registry: fifty years of cancer surveillance data for  Alaska Native people (2022),Alaska Native Tumor Registry,Alaska Native vs USW,age-adjusted rates + RR (fig/table),quantitative,ANTR 1969-2018; OVERLAPS 28/415/428 -> keep representative at dedup,34918619,10.1080/22423982.2021.2013403
54,"Breast cancer among Asian Indian and Pakistani Americans: A surveillance, epidemiology and end results-based study (2021)",SEER 9 + NJ + San Jose,Asian Indian/Pakistani vs NHW,age-specific Poisson rates,quantitative,AIPA lower than NHW; age-specific incidence rates modeled,33099777,10.1002/ijc.33331
